routine,focus,routine_notes,section,exercise,sets,reps,duration,weight,rest,notes,google_url
Push Pull Legs,Push / Pull / Legs,"Notation 3/10-15 means 3 sets of 10-15 reps. Decrease the weight if you cannot reach 10 reps; increase it when you can reach 15. Warm up with 80% of your working weight for 5-7 reps. If needed, use a rower, cross-trainer, or treadmill for a few minutes to raise your heart rate, or do jumping jacks, burpees, or squats.",PUSH,Dumbbell incline bench press,3,7-12,,16 kg,,Use a 15-degree incline.,
Push Pull Legs,Push / Pull / Legs,,PUSH,Chest press,3,10,,47 kg,,"Seat 7. Schouderbladen naar achter; beweeg niet mee met je schouders.",
Push Pull Legs,Push / Pull / Legs,,PUSH,Pec deck,3,8-15,,47 kg,,Chair 2; third pin from the top.,
Push Pull Legs,Push / Pull / Legs,,PUSH,Shoulder press (Life),3,10,,25 kg,,,
Push Pull Legs,Push / Pull / Legs,,PUSH,Abdominal machine,3,10-3,,37 kg,,Chair 5. Bol je rug. Prescription copied as provided: 3/10-3.,
Push Pull Legs,Push / Pull / Legs,,PULL,Chest-supported row,4,8-15,,52 kg,,"Settings as provided: chest 8, chair 5; the technique note also says seat 5 and chest 10. Keep your chest up with a proud posture. Retract the shoulders first, as if squeezing a lemon between the shoulder blades.",
Push Pull Legs,Push / Pull / Legs,,PULL,Lat pulldown,4,8-15,,59 kg,,Third seat pin. Sit very upright with your chest up and pull toward the top of your chest.,
Push Pull Legs,Push / Pull / Legs,,PULL,Cable upright row,4,8-15,,21 kg,,,
Push Pull Legs,Push / Pull / Legs,,PULL,Abdominal machine,3,10-3,,37 kg,,Chair 5. Bol je rug. Prescription copied as provided: 3/10-3.,
Push Pull Legs,Push / Pull / Legs,,LEGS,Hyperextension,3,8-15,,+10 kg,,"Setup: 2 kuit, heuphoogte onderaan. Met gestrekte knieen en een rechte rug; kom omhoog tot je weer in lijn bent met je heupen. Houd een 45-degree hoek van de bank aan.",
Push Pull Legs,Push / Pull / Legs,,LEGS,Leg press,3,10-15,,80 kg,,"Tenen en knieen naar buiten. Voeten laag op het platform. Doe de stoel bijna helemaal onderaan. Hard omhoog, langzaam terug.",
Push Pull Legs,Push / Pull / Legs,,LEGS,Hip thrust (Booty Builder),3,10-20,,15 kg per side,,Height 2. Hold for 3 seconds at the top and lower for 3 seconds.,
Push Pull Legs,Push / Pull / Legs,,LEGS,Lying leg curl,2,8-15,,42 kg,,Setting: M; 0.,
Push Pull Legs,Push / Pull / Legs,,LEGS,Hip abduction,3,10-20,,135 kg,,Hold for 3 seconds; use a 3-second eccentric.,
Push Pull Legs,Push / Pull / Legs,,LEGS,Leg extension,2,10-20,,72 kg,,Setting: S; chair 1.,
Push Pull Legs,Push / Pull / Legs,,LEGS,Abdominal machine,3,10-3,,37 kg,,Chair 5. Bol je rug. Prescription copied as provided: 3/10-3.,
Push Pull Legs,Push / Pull / Legs,,STRETCHES,Kneeling hip-flexor stretch,,,,,,On a mat: place one foot in front and the other behind the opposite hip. Keep the front knee over the toe and the foot on the floor. Open the hip and rear hip flexor.,
Push Pull Legs,Push / Pull / Legs,,STRETCHES,Upright kneeling hip-flexor stretch,,,,,,"From the first stretch, sit upright, flex the rear glute, and hold.",
Push Pull Legs,Push / Pull / Legs,,STRETCHES,Pigeon stretch,,,,,,Keep the front knee at the body's midline and flat on the floor. Turn the rear hip so it points forward.,
