routine,focus,routine_notes,section,exercise,sets,reps,duration,weight,rest,notes,google_url
Muscle Strength,Full Body,"Rest 30-45 sec between sets. Choose resistance that allows 10 reps. Perform every exercise slowly and with control. Finish with the Flexibility section.",Strength,Static squat,3,,25 sec,24 kg,30-45 sec,Walking-lunge circuit.,https://www.google.com/search?q=Static+squat+exercise+technique
Muscle Strength,Full Body,,Strength,Walking lunge with load,3,8 steps,,9 kg,30-45 sec,Walking-lunge circuit.,https://www.google.com/search?q=Walking+lunge+with+load+exercise+technique
Muscle Strength,Full Body,,Strength,Walking lunge power knee,3,8 steps,,,30-45 sec,Walking-lunge circuit.,https://www.google.com/search?q=Walking+lunge+power+knee+exercise+technique
Muscle Strength,Full Body,,Strength,Side plank on one knee,3,10,,,30-45 sec,,https://www.google.com/search?q=Side+plank+on+one+knee+exercise+technique
Muscle Strength,Full Body,,Strength,Ball plank pike and knee tuck,3,10,,,30-45 sec,,https://www.google.com/search?q=Ball+plank+pike+and+knee+tuck+exercise+technique
Muscle Strength,Full Body,,Strength,Bosu lunge,3,8-12,,,30-45 sec,"Variations: blue side up; black side up; blue side with small jump; black side with small jump; foot on a stability ball.",https://www.google.com/search?q=Bosu+lunge+exercise+technique
Muscle Strength,Full Body,,Strength,Static dip hold,3,,15-30 sec,,30-45 sec,,https://www.google.com/search?q=Static+dip+hold+exercise+technique
Muscle Strength,Full Body,,Strength,Assisted L-sit,3,10,,,30-45 sec,Set the bar low and lift one foot at a time.,https://www.google.com/search?q=Assisted+L-sit+exercise+technique
Muscle Strength,Full Body,,Strength,Pull-up bar dead hang,3,,15-30 sec,,30-45 sec,,https://www.google.com/search?q=Pull-up+bar+dead+hang+exercise+technique
Muscle Strength,Full Body,,Strength,Assisted pull-up,3,12,,,30-45 sec,Alternate grip width.,https://www.google.com/search?q=Assisted+pull-up+exercise+technique
Muscle Strength,Full Body,,Strength,Push-up,3,,,,30-45 sec,One set: 2 wide plus 2 regular. Progress to 2 narrow push-ups when ready.,https://www.google.com/search?q=Push-up+exercise+technique
Muscle Strength,Full Body,,Flexibility,Shoulder wall slides,,,,,,,https://www.google.com/search?q=Shoulder+wall+slides+exercise+technique
Muscle Strength,Full Body,,Flexibility,T-spine rotation,,,,,,,https://www.google.com/search?q=T-spine+rotation+exercise+technique
